customerId,merchantName,transactionDate,transAmtNunique,transAmtCnt
100737756,34th BBQ #166379,2016-07-10,1,2
100737756,Franks Deli,2016-01-18,1,3
100737756,South Steakhouse #73819,2016-07-02,1,2
101132326,Regal Cinemas #05791,2016-08-24,1,2
102038975,KFC #304124,2016-05-09,1,2
102755773,McDonalds #892016,2016-10-22,1,2
102980467,Seattle News,2016-05-28,1,2
103111023,Pizza Hut #245631,2016-05-10,1,2
104068835,AMC #606218,2016-05-17,1,2
104068835,AMC #706324,2016-01-09,1,2
105730883,34th BBQ #412895,2016-07-05,1,2
105730883,AMC #706324,2016-12-07,1,2
106159813,Hyatt House #770440,2016-09-09,1,2
106159813,KFC #353388,2016-06-23,1,2
106159813,Rodeway Inn #166115,2016-11-11,1,2
106159813,Wendys #637619,2016-08-22,1,2
107124479,34th BBQ #493821,2016-01-19,1,3
107124479,Downtown Pub,2016-05-02,1,2
107245062,Powerlifting #258179,2016-09-07,1,2
109267588,Ray's Fries #24425,2016-09-23,1,2
111113489,AMC #692956,2016-02-13,1,2
111113489,AMC #724446,2016-09-05,1,2
111113489,EZ Putt Putt #40513,2016-11-05,1,2
111113489,EZ Putt Putt #551896,2016-01-28,1,3
111350183,Ray's Fries #61396,2016-09-23,1,3
112078688,Best Deli #329705,2016-05-11,1,3
113991270,Hardee's #557866,2016-10-10,1,2
114895301,Rove Concepts,2016-09-06,1,2
116906711,Cinnabon #928546,2016-09-22,1,2
116906711,Quizno's #923583,2016-07-27,1,3
116906711,Quizno's #961632,2016-03-25,1,3
116906711,Subway #969202,2016-11-14,1,2
116906711,Wendys #731740,2016-11-24,1,2
117360307,South Steakhouse #879581,2016-10-06,1,2
117640233,Dinosaur Drive in,2016-11-06,1,2
119937133,West End Beauty #72256,2016-05-07,1,2
121553751,1st Sandwitch Bar #801388,2016-04-20,1,2
123393723,Rodeway Inn #43522,2016-09-09,1,2
123579760,Hilton Hotels #735862,2016-06-06,1,3
123579760,Hilton Hotels #821221,2016-11-08,1,2
123579760,Renaissance Hotel #81852,2016-09-15,1,2
123579760,Renaissance Hotel #845122,2016-02-04,1,2
124857293,AMC #606218,2016-06-24,1,2
124857293,EZ Putt Putt #804489,2016-11-16,1,2
125744441,Boston Cafe #105215,2016-12-26,1,2
128103719,Universe Massage #396482,2016-01-22,1,2
128659124,KFC #109835,2016-09-28,1,3
129041604,Rock Weights #397805,2016-10-06,1,2
129189443,AMC #692956,2016-08-05,1,3
130354307,Universe Massage #524703,2016-03-29,1,2
130354307,Universe Massage #837002,2016-07-04,1,2
130601283,AMC #552863,2016-06-18,1,2
130601283,AMC #606218,2016-01-04,1,2
130601283,AMC #706324,2016-05-26,1,3
130601283,AMC #74121,2016-03-14,1,2
130601283,AMC #74121,2016-09-15,1,2
130601283,EZ Putt Putt #503815,2016-11-03,1,2
130601283,EZ Putt Putt #804489,2016-04-12,1,2
130601283,EZ Putt Putt #982199,2016-05-31,1,2
130822806,Dinosaur Sandwitch Bar #160554,2016-10-15,1,2
131371421,1st Sandwitch Bar #941288,2016-05-23,1,2
131371421,Downtown Sandwitch Bar,2016-03-25,1,2
131781378,34th BBQ #436606,2016-01-31,1,2
131781378,34th BBQ #493821,2016-07-09,1,2
131781378,Best Deli #316476,2016-09-10,1,2
